xr_person_id,zh_state,zh_district,xh_urban_rural,zh_urban_rural2,zh_member_number,xr_age_final,xr_gender_final,xr_has_aadhaar,zh_state_district,zr_elderly,zh_homeless,zh_laborer,zh_migrant_laborer,zr_third_gender,zh_secc_classification,xh_mem_weight,zh_hh_num_members,zh_caste,zh_religion,xh_enroled_in_school_flag,xh_school_admission_aadhaar_mandatory,xh_school_admission_aadhaar_of_child,xh_school_admission_aadhaar_of_father,xh_school_admission_aadhaar_of_guardian,xh_school_admission_aadhaar_of_mother,xh_school_admission_denied_due_to_aadhaar,xh_school_admission_produced_aadhaar_flag,xh_school_has_mdm_program_flag,xh_school_mdm_denied_due_to_aadhaar,xh_want_to_enrol_in_school,zh_denial_not_enroled_in_school_reason,zh_school_enrolment_date,zr_age_bucket1,zr_age_bucket2,zr_age_bucket3,zr_age_bucket4
P0104269942,Tamil Nadu,Salem,Urban (S),Urban,3,68,Male,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,56 to 70 years old,18 to 70 years old,Adults,Adults
P0104269942,Tamil Nadu,Salem,Urban (S),Urban,4,29,Female,Yes,Tamil Nadu_Salem,No,No,Yes,No,No,Automatically excluded,64249.7594632898,4,General,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104269967,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,24,Third Gender,No,Madhya Pradesh_W.Nimar,No,No,No,No,Yes,General,49275.210898293,1,SC,Muslim,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104269981,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,25,Male,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,Automatically excluded,49275.210898293,3,OBC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104269981,Madhya Pradesh,W.Nimar,Rural (S),Rural,2,22,Female,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,Automatically excluded,49275.210898293,3,OBC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104269981,Madhya Pradesh,W.Nimar,Rural (S),Rural,3,2,Male,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,Automatically excluded,59207.9965270765,3,OBC,Hindu,No,,,,,,,,,,No,,,0 to 5 years old,0 to 5 years old,Children,Children
P0104270060,Uttar Pradesh,Jhansi,Rural (S),Rural,1,50,Female,Yes,Uttar Pradesh_Jhansi,No,No,Yes,No,No,General,134024.943235477,2,SC,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104270060,Uttar Pradesh,Jhansi,Rural (S),Rural,2,52,Male,Yes,Uttar Pradesh_Jhansi,No,No,Yes,No,No,General,134024.943235477,2,SC,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104270091,Jharkhand,Ranchi,Rural (S),Rural,1,55,Female,Yes,Jharkhand_Ranchi,No,No,Yes,No,No,Automatically excluded,34325.939486099,4,SC,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104270091,Jharkhand,Ranchi,Rural (S),Rural,2,18,Male,Yes,Jharkhand_Ranchi,No,No,Yes,No,No,Automatically excluded,34325.939486099,4,SC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104270091,Jharkhand,Ranchi,Rural (S),Rural,3,17,Female,Yes,Jharkhand_Ranchi,No,No,Yes,No,No,Automatically excluded,21573.3966380164,4,SC,Hindu,No,,,,,,,,,,No,,,6 to 17 years old,6 to 17 years old,Children,Children
P0104270091,Jharkhand,Ranchi,Rural (S),Rural,4,16,Female,Yes,Jharkhand_Ranchi,No,No,Yes,No,No,Automatically excluded,21573.3966380164,4,SC,Hindu,No,,,,,,,,,,No,,,6 to 17 years old,6 to 17 years old,Children,Children
P0104270485,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,32,Male,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,49275.210898293,3,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104270485,Madhya Pradesh,W.Nimar,Rural (S),Rural,2,28,Female,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,49275.210898293,3,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104270485,Madhya Pradesh,W.Nimar,Rural (S),Rural,3,17,Female,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,59207.9965270765,3,OBC,Hindu,Yes,Mandatory,Father,,,,Yes,Yes,Yes,Yes,,,,6 to 17 years old,6 to 17 years old,Children,Children
P0104270583,Rajasthan,Udaipur,Rural (S),Rural,1,68,Female,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,Automatically excluded,49339.0993247189,2,OBC,Hindu,,,,,,,,,,,,,,56 to 70 years old,18 to 70 years old,Adults,Adults
P0104270583,Rajasthan,Udaipur,Rural (S),Rural,2,28,Male,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,Automatically excluded,49339.0993247189,2,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104270989,Gujarat,Ahmadabad,Urban (L),Urban,1,34,Male,Yes,Gujarat_Ahmadabad,No,No,Yes,No,No,General,35613.2719921222,3,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104270989,Gujarat,Ahmadabad,Urban (L),Urban,2,21,Female,Yes,Gujarat_Ahmadabad,No,No,Yes,No,No,General,35613.2719921222,3,OBC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104270989,Gujarat,Ahmadabad,Urban (L),Urban,3,3,Female,Yes,Gujarat_Ahmadabad,No,No,Yes,No,No,General,47894.692356056,3,OBC,Hindu,No,,,,,,,,,,Yes,|Not eligible,,0 to 5 years old,0 to 5 years old,Children,Children
P0104271081,Bihar,Gopalganj,Rural (S),Rural,1,20,Male,Yes,Bihar_Gopalganj,No,No,Yes,No,No,Automatically excluded,86140.2457846739,4,SC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
